roundID,score,movesExec,movesConsid,runtime
1274,30,262,420,0.000807417
1275,31,268,380,0.000851917
1276,41,340,467,0.00124208
1277,34,279,364,0.0010285
1278,18,159,230,0.000440625
1279,27,276,426,0.000977083
1280,31,304,454,0.000997042
1281,21,233,390,0.000689875
1282,37,368,562,0.00122092
1283,34,323,546,0.00108675
1284,35,318,503,0.0010855
1285,20,178,247,0.000528375
1286,29,289,426,0.00105379
1287,35,318,517,0.00109967
1288,28,282,394,0.000810458
1289,20,148,204,0.000441
1290,41,516,946,0.00189842
1291,31,280,401,0.000869875
1292,28,241,362,0.000823667
1293,22,150,183,0.000454375
1294,23,213,279,0.000631125
1295,23,216,286,0.000745583
1296,27,210,297,0.000679958
1297,30,292,467,0.000969
1298,34,293,451,0.000974875
1299,18,143,192,0.000424459
1300,31,225,297,0.000770417
1301,20,160,223,0.000588875
1302,24,239,358,0.000674541
1303,34,350,512,0.00106979
1304,19,170,208,0.000501708
1305,26,237,404,0.000674083
1306,32,331,540,0.00113392
1307,34,343,527,0.00108358
1308,39,349,513,0.00123675
1309,46,489,794,0.00185267
1310,27,274,459,0.000780083
1311,23,228,313,0.000634917
1312,29,322,483,0.00106646
1313,29,239,325,0.000895416
1314,30,248,371,0.00101533
1315,25,200,278,0.000627708
1316,31,247,365,0.000880125
1317,32,395,746,0.00116167
1318,29,273,411,0.000890042
1319,47,516,799,0.00192933
1320,40,480,799,0.00145596
1321,31,372,643,0.00117204
1322,30,276,450,0.00101117
1323,32,246,367,0.000833584
1324,44,396,660,0.00145854
1325,28,266,396,0.000823166
1326,40,407,682,0.00134667
1327,28,223,303,0.000709792
1328,23,174,240,0.000520541
1329,50,700,1387,0.00276096
1330,37,386,618,0.00133833
1331,29,244,364,0.000796625
1332,26,202,271,0.000730375
1333,20,202,273,0.000609792
1334,41,384,674,0.00134913
1335,29,246,348,0.000779792
1336,16,125,170,0.000356125
1337,38,428,773,0.00145829
1338,29,251,361,0.000923708
1339,34,301,464,0.00113475
1340,36,343,564,0.00112721
